Wed May 31 19:53:18 2023    output.dat

         266629246 function calls (221719246 primitive calls) in 217.503 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3000   32.744    0.011   32.744    0.011 {method 'writelines' of '_io._IOBase' objects}
     4500   30.791    0.007   30.944    0.007 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:2641(from_source)
     9000   27.210    0.003   27.230    0.003 {method 'sub' of '_sre.SRE_Pattern' objects}
82249500/41145000   19.977    0.000   33.813    0.000 /usr/lib/python3.6/json/encoder.py:333(_iterencode_dict)
     4500   10.165    0.002  169.439    0.038 /mnt/DATA2/y4d/YAD/codeParser.py:218(prepareData)
     4500    8.381    0.002    8.695    0.002 {method 'readlines' of '_io._IOBase' objects}
43102500/41118000    8.015    0.000   25.909    0.000 /usr/lib/python3.6/json/encoder.py:277(_iterencode_list)
  1467000    6.828    0.000    8.214    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:222(_get_instantiation)
 41145000    6.653    0.000   40.469    0.000 /usr/lib/python3.6/json/encoder.py:412(_iterencode)
 30309000    3.927    0.000    3.927    0.000 {built-in method builtins.isinstance}
     4500    3.771    0.001   44.760    0.010 /usr/lib/python3.6/json/encoder.py:182(encode)
   505000    3.615    0.000    5.721    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1768(get_children)
  2128500    3.028    0.000    7.794    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:209(from_result)
  2128500    2.727    0.000    3.431    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:85(value)
    12000    2.709    0.000    2.785    0.000 {built-in method io.open}
     4500    2.692    0.001    2.692    0.001 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
  5265000    2.559    0.000    2.696    0.000 {built-in method builtins.hasattr}
 14200500    2.350    0.000    2.350    0.000 {built-in method _json.encode_basestring_ascii}
  4027500    1.946    0.000    2.497    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:630(from_id)
  2128500    1.944    0.000    1.944    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:206(__del__)
   489000    1.893    0.000    4.457    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1532(mangled_name)
   676500    1.838    0.000    5.534    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1510(spelling)
2314500/493500    1.809    0.000    7.279    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1786(walk_preorder)
  3538500    1.683    0.000    3.810    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1505(kind)
     4500    1.662    0.000    2.295    0.001 {method 'read' of '_io.TextIOWrapper' objects}
   489000    1.230    0.000    3.413    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1518(displayname)
   978000    1.200    0.000    2.901    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1584(type)
   489000    1.113    0.000    1.392    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1551(extent)
   978000    1.093    0.000    1.437    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1540(location)
   489000    1.071    0.000    3.220    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:2304(spelling)
  2128500    1.021    0.000    4.452    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:99(to_python_string)
   517500    0.977    0.000    1.937    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1772(visitor)
   489000    0.965    0.000    1.718    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1573(access_specifier)
   705000    0.898    0.000    0.898    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:1410(__eq__)
     1000    0.885    0.001  144.533    0.145 /mnt/DATA2/y4d/YAD/isolator.py:80(isolateClass)
   151371    0.815    0.000    0.815    0.000 {built-in method _codecs.utf_8_decode}
   489000    0.809    0.000    1.347    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:2147(from_result)
   978000    0.767    0.000    8.850    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:257(line)
   982500    0.710    0.000    0.861    0.000 /home/mrmoon/.local/lib/python3.6/site-packages/clang/cindex.py:2329(__init__)
  2128500    0.704    0.000    0.704    0.000 {method 'decode' of 'bytes' objects}
      500    0.634    0.001   72.388    0.145 /mnt/DATA2/y4d/YAD/isolator.py:9(isolateFunction)
